Year,MSE,RMSE,MAE,R2,Directional Accuracy
2020,563.8045633447308,23.744569133693094,16.67337002530502,-0.011057835079113731,0.525691699604743
2021,307.24011250719667,17.528266100992326,12.214408889270183,-0.09341430538484641,0.5515873015873016
2022,313.028408786503,17.692608874513194,13.583143727268011,-0.006899433029431412,0.5219123505976095
2023,271.86410064493003,16.488301933338377,11.944328964491463,-0.043322311612938647,0.512
2024,545.2432561070171,23.350444452023115,17.864196758924656,-0.0386882242704345,0.44782608695652176
