Year,MSE,RMSE,MAE,R2,Directional Accuracy
2020,560.2131087660116,23.668821448606426,16.810430747760556,-0.004617361682440313,0.44664031620553357
2021,282.4943633497013,16.807568632901706,11.78198433413441,-0.005348473402583043,0.5277777777777778
2022,309.39609826136007,17.589658844371034,13.431937542902926,0.004784399190562949,0.5418326693227091
2023,260.54741488671647,16.14148118627025,11.889629494234422,0.00010729427120548252,0.488
2024,527.9402498514047,22.976950403641574,17.256162890605694,-0.00572600302169568,0.5826086956521739
