feature,shap_value
Open,0.00025217600006735135
High,0.00019473617352050118
Close,0.00018996406717174471
Low,0.00016732193990699783
Volume,0.0006600077408007603
SMA_7,0.00020445456902100053
SMA_30,0.0003376591738404358
RSI_14,0.0003115729779383424
MACD,0.00045993650274116444
BB_Width,0.000525744398628376
Volume_Zscore,0.0006448318946753654
log_return,0.0013335091103907643
log_return_lag1,0.0014510065262756295
log_return_lag2,0.0007496326718540065
rolling_vol_5,0.00019252520368385717
rolling_vol_20,0.00028182673803019045
abs_return,0.0002855223406338846
intraday_range,0.00039694283073509005
ATR_14,0.00037040382308706297
trend_up,0.0007649738684199292
strong_momentum,0.00022790855162421763
pos_in_range,0.0005554344410654153
Fed_Funds_Rate,0.0001349022022400419
CPI,0.00024314451707743956
Unemployment_Rate,0.00021867171504161813
M2,9.916459198412042e-05
M1,0.0002515519757728744
IPI,0.00043332861002723654
Consumer_Sentiment,0.00025000830677159535
1Y_Treasury_Rate,9.870232928052757e-05
GDP_Quarterly,0.0003077159681918668
Balance_Trade,0.0008205939292737033
SP500_Close,0.000197347967391579
SP500_log_return,0.0004127235709859628
SP500_SMA_30,0.0005197317273697687
SP500_RSI_14,0.0004309688531523079
DXY_Close,0.0009244759339295948
DXY_Log_Return,0.0005733015823821589
VIX_Close,0.0004046438130678212
GPRD,0.0002559225999453455
GPRD_ACT,6.095707393931075e-05
GPRD_THREAT,0.0006814296797213236
GPRD_MA7,0.00012581800651700567
GPRD_MA30,0.0002379506503754456
