feature,shap_value
Open,0.0025009797533105406
High,0.001643000357696034
Close,0.0008896711133046817
Low,0.0008597933100466359
Volume,0.0018307493849060847
SMA_7,0.0010397885510242304
SMA_30,0.003849227805490955
RSI_14,0.0007446702066475268
MACD,0.0014306000693761688
BB_Width,0.0018912182216170095
Volume_Zscore,0.003529699919444738
log_return,0.0035480414822674326
log_return_lag1,0.0063601312991907735
log_return_lag2,0.0033306436616314084
rolling_vol_5,0.0008082329994320314
rolling_vol_20,0.0013670037967029884
abs_return,0.0017322249046023142
intraday_range,0.0016903513091604528
ATR_14,0.0027369929576209983
trend_up,0.0017661334276472189
strong_momentum,0.0010627654895550146
pos_in_range,0.0010849174890160687
Fed_Funds_Rate,0.0005456792729934629
CPI,0.00048675267818932373
Unemployment_Rate,0.0009289301505552506
M2,0.0003815321565804197
M1,0.0005291438131547086
IPI,0.000535268152323359
Consumer_Sentiment,0.0004784811793706467
1Y_Treasury_Rate,0.00011002840642311243
GDP_Quarterly,0.001026216456641426
Balance_Trade,0.0007508028500628446
SP500_Close,0.0008915475138152639
SP500_log_return,0.0010076024175280055
SP500_SMA_30,0.00046284735049115016
SP500_RSI_14,0.0003394467178385305
DXY_Close,0.00018651179123564148
DXY_Log_Return,0.0006716954307407831
VIX_Close,0.0014460659702378931
GPRD,0.0003846720155676072
GPRD_ACT,0.0005213047085213323
GPRD_THREAT,0.00038671705633597735
GPRD_MA7,0.00035297671735522347
GPRD_MA30,0.00041082076786532677
