feature,shap_value
Open,0.0006110609445157327
High,0.0005385316425322534
Close,0.0008470819773697636
Low,0.0010474294111788064
Volume,0.0003535459235700339
SMA_7,0.0005759009249093954
SMA_30,0.001585854927894919
RSI_14,0.0005424330075009796
MACD,0.0004520418868696273
BB_Width,0.001003959506911921
Volume_Zscore,0.0007434469314056006
log_return,0.0025224588512385254
log_return_lag1,0.00407969958527004
log_return_lag2,0.0006357925273768501
rolling_vol_5,0.00038265663323685807
rolling_vol_20,0.00035168544392282305
abs_return,0.000513316736623589
intraday_range,0.0009527903190817142
ATR_14,0.0010705087776311378
trend_up,0.0009342563765094383
strong_momentum,0.00016916300918323182
pos_in_range,0.001819056462905659
Fed_Funds_Rate,0.005011130319753041
CPI,0.0017849512129588826
Unemployment_Rate,0.0020418033003030966
M2,0.0004378144322395201
M1,0.000578301847872467
IPI,0.0020913722078354717
Consumer_Sentiment,0.0005571295370483196
1Y_Treasury_Rate,0.0016744156068181724
GDP_Quarterly,0.002824086141966594
Balance_Trade,0.0006666302614346098
SP500_Close,0.0005861903464524781
SP500_log_return,0.0015809302359289176
SP500_SMA_30,0.0007461980810763483
SP500_RSI_14,0.002334618031742669
DXY_Close,0.0028536812770180403
DXY_Log_Return,0.00043404266512019757
VIX_Close,0.0003885687877334097
GPRD,0.0002011129875983902
GPRD_ACT,0.0007839038797678792
GPRD_THREAT,0.0007057592988142385
GPRD_MA7,0.00020131137207024115
GPRD_MA30,0.00015727980736149523
