feature,shap_value
Open,0.002202541324193589
High,0.00031648606854993016
Close,0.0006680670868296753
Low,0.001331785981989621
Volume,0.0009877540565722332
SMA_7,0.00031695139406895124
SMA_30,0.0005987379757890116
RSI_14,0.0003067718482283757
MACD,0.0010174596745699395
BB_Width,0.0011349428701045098
Volume_Zscore,0.0020107442829631356
log_return,0.001650254324703686
log_return_lag1,0.0023184895427849216
log_return_lag2,0.0024148188156045383
rolling_vol_5,0.0004758310369452611
rolling_vol_20,0.0004644694101463263
abs_return,0.0022031463800027875
intraday_range,0.000654581719320125
ATR_14,0.0007614582378748006
trend_up,0.0007532734465493529
strong_momentum,0.0004393012348012443
pos_in_range,0.001044881728130084
Fed_Funds_Rate,0.00013922663051683533
CPI,0.0002724254141124523
Unemployment_Rate,0.0009266284914532056
M2,0.0005465588801016565
M1,0.0008952714895131066
IPI,0.00047215437857645764
Consumer_Sentiment,0.0003278745890297709
1Y_Treasury_Rate,0.00015896457480994285
GDP_Quarterly,0.0001800710614076498
Balance_Trade,0.0006092761774343672
SP500_Close,0.00022607819804384613
SP500_log_return,0.00013667408868633875
SP500_SMA_30,0.0005076598341935703
SP500_RSI_14,0.000443556410704313
DXY_Close,0.0005058833955129861
DXY_Log_Return,0.00041687711927979385
VIX_Close,0.000311664562961217
GPRD,0.00010293309848965126
GPRD_ACT,0.0001742923762391181
GPRD_THREAT,0.0003095128036903437
GPRD_MA7,9.526228089795078e-05
GPRD_MA30,0.00013194196671994143
